path,expected,apex_status,apex_location,http_status,http_location,https_status,canonical,og_url,pass,issues
"/seguro-moto-guarulhos","https://patroseguros.lovable.app/seguro-moto-guarulhos","200","","301","https://patroseguros.lovable.app/seguro-moto-guarulhos","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-moto-guarulhos) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-moto-guarulhos)"
"/seguro-motorista-app","https://patroseguros.lovable.app/seguro-motorista-app","200","","301","https://patroseguros.lovable.app/seguro-motorista-app","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-motorista-app) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-motorista-app)"
"/seguro-odonto","https://patroseguros.lovable.app/seguro-odonto","200","","301","https://patroseguros.lovable.app/seguro-odonto","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-odonto) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-odonto)"
"/seguro-onix-guarulhos","https://patroseguros.lovable.app/seguro-onix-guarulhos","200","","301","https://patroseguros.lovable.app/seguro-onix-guarulhos","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-onix-guarulhos) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-onix-guarulhos)"
"/seguro-para-motorista-app-guarulhos","https://patroseguros.lovable.app/seguro-para-motorista-app-guarulhos","200","","301","https://patroseguros.lovable.app/seguro-para-motorista-app-guarulhos","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-para-motorista-app-guarulhos) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-para-motorista-app-guarulhos)"
"/seguro-pecuario","https://patroseguros.lovable.app/seguro-pecuario","200","","301","https://patroseguros.lovable.app/seguro-pecuario","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-pecuario) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-pecuario)"
"/seguro-placa-solar","https://patroseguros.lovable.app/seguro-placa-solar","200","","301","https://patroseguros.lovable.app/seguro-placa-solar","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-placa-solar) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-placa-solar)"
"/seguro-propriedade-rural","https://patroseguros.lovable.app/seguro-propriedade-rural","200","","301","https://patroseguros.lovable.app/seguro-propriedade-rural","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-propriedade-rural) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-propriedade-rural)"
"/seguro-rc","https://patroseguros.lovable.app/seguro-rc","200","","301","https://patroseguros.lovable.app/seguro-rc","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-rc) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-rc)"
"/seguro-rc-advogados","https://patroseguros.lovable.app/seguro-rc-advogados","200","","301","https://patroseguros.lovable.app/seguro-rc-advogados","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-rc-advogados) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-rc-advogados)"
"/seguro-rc-dentistas","https://patroseguros.lovable.app/seguro-rc-dentistas","200","","301","https://patroseguros.lovable.app/seguro-rc-dentistas","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-rc-dentistas) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-rc-dentistas)"
"/seguro-rc-engenheiros","https://patroseguros.lovable.app/seguro-rc-engenheiros","200","","301","https://patroseguros.lovable.app/seguro-rc-engenheiros","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-rc-engenheiros) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-rc-engenheiros)"
"/seguro-rc-eventos","https://patroseguros.lovable.app/seguro-rc-eventos","200","","301","https://patroseguros.lovable.app/seguro-rc-eventos","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-rc-eventos) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-rc-eventos)"
"/seguro-rc-executivos","https://patroseguros.lovable.app/seguro-rc-executivos","200","","301","https://patroseguros.lovable.app/seguro-rc-executivos","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-rc-executivos) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-rc-executivos)"
"/seguro-rc-medicos","https://patroseguros.lovable.app/seguro-rc-medicos","200","","301","https://patroseguros.lovable.app/seguro-rc-medicos","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-rc-medicos) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-rc-medicos)"
"/seguro-rc-obras","https://patroseguros.lovable.app/seguro-rc-obras","200","","301","https://patroseguros.lovable.app/seguro-rc-obras","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-rc-obras) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-rc-obras)"
"/seguro-rc-prestacao-servicos","https://patroseguros.lovable.app/seguro-rc-prestacao-servicos","200","","301","https://patroseguros.lovable.app/seguro-rc-prestacao-servicos","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-rc-prestacao-servicos) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-rc-prestacao-servicos)"
"/seguro-rc-profissional","https://patroseguros.lovable.app/seguro-rc-profissional","200","","301","https://patroseguros.lovable.app/seguro-rc-profissional","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-rc-profissional) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-rc-profissional)"
"/seguro-rc-veterinarios","https://patroseguros.lovable.app/seguro-rc-veterinarios","200","","301","https://patroseguros.lovable.app/seguro-rc-veterinarios","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-rc-veterinarios) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-rc-veterinarios)"
